"Source: EMFAC2021 (v1.0.1) Emission Rates"
"Region Type: Air District"
"Region: Bay Area AQMD"
"Calendar Year: 2021"
"Season: Summer"
"Vehicle Classification: EMFAC202x Categories"
"Units:  miles/day for CVMT and EVMT, trips/day for Trips, g/mile for RUNEX, PMBW and PMTW, g/trip for STREX, HOTSOAK and RUNLOSS, g/vehicle/day for IDLEX and DIURN. PHEV calculated based on total VMT."

Region,"Calendar Year","Vehicle Category","Model Year",Speed,Fuel,Population,"Total VMT",CVMT,EVMT,Trips,NOx_RUNEX,NOx_IDLEX,NOx_STREX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_PMTW,PM2.5_PMBW,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_PMTW,PM10_PMBW,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_HOTSOAK,ROG_RUNLOSS,ROG_DIURN,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_HOTSOAK,TOG_RUNLOSS,TOG_DIURN,NH3_RUNEX,CO_RUNEX,CO_IDLEX,CO_STREX,SOx_RUNEX,SOx_IDLEX,SOx_STREX
"Bay Area AQMD",2021,LDA,Aggregate,Aggregate,Gasoline,2262289.8141306336,81578412.47275624,81578412.47275624,0,10490115.81967751,0.05256320282542912,0,0.2759423992842572,0.0013339809478631866,0,0.002169273371261778,0.0020000005732018823,0.0025615980940350554,0.0014507942868600048,0,0.002359118558977903,0.008000002292807529,0.007318851697243012,316.21432243226707,0,73.46431878002744,0.003554639931304197,0,0.07393173864218809,0.005214849525912989,0,0.03350126385357167,0.014287695915249952,0,0.34996304784032783,0.11532673674050191,0.2760262759252782,2.1882553864708933,0.020838586425181195,0,0.38316341496218226,0.11532673674045445,0.2760262759251647,2.1882553864708933,0.03199404024824832,1.1838826892242782,0,3.1385687269045968,0.0031261005082475423,0,0.0007262695835843923
"Bay Area AQMD",2021,LDA,Aggregate,Aggregate,Diesel,10568.914318214229,315038.0750410486,315038.0750410486,0,45543.741441783,0.2879672493150346,0,0,0.021984257612058626,0,0,0.0020000005732018784,0.0026029211878054264,0.022978288187577568,0,0,0.008000002292807513,0.007436917679444079,242.3985723414803,0,0,0.0016530864368523854,0,0,0.03818999378658804,0,0,0.03558997770934207,0,0,0,0,0,0.040516823439597116,0,0,0,0,0,0.0030999999999999956,0.3794778039378847,0,0,0.0022968496605043774,0,0
"Bay Area AQMD",2021,LDA,Aggregate,Aggregate,Electricity,125514.59866256066,5123864.234005305,0,5123864.234005305,628285.9139446309,0,0,0,0,0,0,0.0020000005732018805,0.0015291283479208335,0,0,0,0.008000002292807522,0.004368938136916669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bay Area AQMD",2021,LDA,Aggregate,Aggregate,"Plug-in Hybrid",43851.0355775788,1963713.9413599395,1044146.9964114209,919566.9449485185,181324.03211962493,0.0029543653387095604,0,0.10259324158837894,0.0007858969924590686,0,0.0024023326379736254,0.002000000573201882,0.0013404286340069032,0.0008547346852292058,0,0.0026127559347304393,0.008000002292807527,0.0038297960971625817,158.39477802786746,0,67.26230407349094,0.0005113404449792643,0,0.03557764726388954,0.00056412572964236,0,0.019552374595674788,0.0015683655331634064,0,0.14032988204422417,0.04399427961817964,0.037128970244945034,0.7009263066481555,0.002288555304383961,0,0.1536435572068713,0.043994279618161554,0.037128970244929754,0.7009263066481555,0.01980133552772216,0.2930785775813018,0,1.0256279552460472,0.0015658936391242536,0,0.0006649563540724194
"Bay Area AQMD",2021,LDT1,Aggregate,Aggregate,Gasoline,233193.60217773158,7523261.299296645,7523261.299296645,0,1036407.6505018724,0.14805186282805502,0,0.4183408182112402,0.0020679034552080443,0,0.00324935214367489,0.002000000573201882,0.0031296877300006176,0.0022488285358419984,0,0.00353350217759461,0.008000002292807527,0.008941964942858902,369.3365053620346,0,89.99320293967948,0.008939779172206432,0,0.1103524967601313,0.010681734844999013,0,0.03980623949292072,0.040045335343766975,0,0.5809921543209798,0.2181339886100127,0.6000965186747094,4.279604648252884,0.05838401185235362,0,0.6361089596472526,0.218133988609923,0.6000965186744628,4.279604648252884,0.035234958177949145,2.308175032833489,0,5.28261842121484,0.003651267369060862,0,0.0008896744312042218
"Bay Area AQMD",2021,LDT1,Aggregate,Aggregate,Diesel,156.64307245244498,2054.710153123426,2054.710153123426,0,471.37891922219677,1.5800305227050984,0,0,0.24158674158499946,0,0,0.0020000005732018827,0.003705570040522714,0.2525102220141846,0,0,0.00800000229280753,0.010587342972922038,420.95367256686217,0,0,0.01430346449166298,0,0,0.06632142254172366,0,0,0.30794516915518616,0,0,0,0,0,0.35057510149725185,0,0,0,0,0,0.0031000000000000003,1.719966291201841,0,0,0.003988749977294377,0,0
"Bay Area AQMD",2021,LDT1,Aggregate,Aggregate,Electricity,495.17967976402895,16577.88104847688,0,16577.88104847688,2329.166986759553,0,0,0,0,0,0,0.002000000573201879,0.0015409993708917192,0,0,0,0.008000002292807515,0.004402855345404912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bay Area AQMD",2021,LDT1,Aggregate,Aggregate,"Plug-in Hybrid",42.713490638600106,2088.1448928707364,1064.1294640685978,1024.0154288021386,176.62028379678353,0.002827272850495637,0,0.10270209707110092,0.0005105090201602927,0,0.001662960028499398,0.0020000005732018823,0.0013407383981149659,0.0005552251387144788,0,0.0018086207609227033,0.008000002292807529,0.0038306811374713293,151.3749976457536,0,74.15455747098581,0.0004905673843731347,0,0.035866699738812936,0.0005449883887292349,0,0.019787641863614373,0.0014977234980189007,0,0.14071631606445759,0.029619426134156267,0.027564584605208848,0.4708094127394832,0.00218547461252742,0,0.15406665381772497,0.0296194261341441,0.0275645846051975,0.4708094127394832,0.021403417762566053,0.27882791730737544,0,1.0284137564204145,0.001496495963359542,0,0.0007330932957616896
