"Source: EMFAC2021 (v1.0.1) Emission Rates"
"Region Type: Air District"
"Region: Bay Area AQMD"
"Calendar Year: 2013, 2014, 2015, 2016, 2017, 2018, 2019"
"Season: Annual"
"Vehicle Classification: EMFAC202x Categories"
"Units:  miles/day for CVMT and EVMT, trips/day for Trips, g/mile for RUNEX, PMBW and PMTW, g/trip for STREX, HOTSOAK and RUNLOSS, g/vehicle/day for IDLEX and DIURN. PHEV calculated based on total VMT."

Region,"Calendar Year","Vehicle Category","Model Year",Speed,Fuel,Population,"Total VMT",CVMT,EVMT,Trips,NOx_RUNEX,NOx_IDLEX,NOx_STREX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_PMTW,PM2.5_PMBW,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_PMTW,PM10_PMBW,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_HOTSOAK,ROG_RUNLOSS,ROG_DIURN,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_HOTSOAK,TOG_RUNLOSS,TOG_DIURN,NH3_RUNEX,CO_RUNEX,CO_IDLEX,CO_STREX,SOx_RUNEX,SOx_IDLEX,SOx_STREX
"Bay Area AQMD",2013,LDA,Aggregate,Aggregate,Gasoline,2373048.7733281264,77732346.81755672,77732346.81755672,0,10993549.500757057,0.20745536411231297,0,0.5529136566441705,0.0018149999990260085,0,0.0033183634875143153,0.0020000005732018814,0.002619764629681569,0.0019699171631541255,0,0.003591704818193631,0.008000002292807526,0.007485041799090199,325.3939246426859,0,90.5601976753939,0.01121218734455134,0,0.15981100732428166,0.014477120776393121,0,0.04718059917646699,0.05577304816462512,0,0.8866655702273742,0.19195337852019181,0.46580318788248726,2.155874257632937,0.07760532455944394,0,0.9703725694976022,0.19195337852011274,0.4658031878822951,2.155874257632937,0.030915278319954245,2.1514405383253075,0,8.138122648248906,0.0032278484082413346,0,0.0008983406504516963
"Bay Area AQMD",2013,LDA,Aggregate,Aggregate,Diesel,19083.6767035872,622028.1956761729,622028.1956761729,0,86743.91461965989,0.4734551891547737,0,0,0.03446842061611239,0,0,0.00200000057320188,0.0025887391930313965,0.03602692964502179,0,0,0.00800000229280752,0.0073963976943754155,258.2484894896791,0,0,0.002460699256066646,0,0,0.04053743075331035,0,0,0.052977406214498445,0,0,0,0,0,0.0603112547979263,0,0,0,0,0,0.003100000000000003,0.46530650198053064,0,0,0.002438030877505912,0,0
"Bay Area AQMD",2013,LDA,Aggregate,Aggregate,Electricity,9892.007727183827,314346.38222452137,0,314346.38222452137,50369.21236778417,0,0,0,0,0,0,0.0020000005732018792,0.00152446168979674,0,0,0,0.008000002292807517,0.004355604827990685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bay Area AQMD",2013,LDA,Aggregate,Aggregate,"Plug-in Hybrid",4630.265422774361,215213.05796734532,116617.85094847593,98595.2070188693,19146.147523841057,0.0035790581855693238,0,0.11647403487502718,0.0003943143711708652,0,0.001095411007474793,0.0020000005732018805,0.0013400958886528576,0.0004288528562369265,0,0.0011913594168886433,0.008000002292807522,0.0038288453961510226,149.79813344875407,0,70.84910645987485,0.0004914109975085591,0,0.04362323979395743,0.0006634124678870048,0,0.021577753329217728,0.0015366733833000422,0,0.1753176329578332,0.03719198859602685,0.03542914479865633,0.5647519307896179,0.0022423101936980346,0,0.19195074047194913,0.03719198859601153,0.035429144798641746,0.5647519307896179,0.010837432639999995,0.22937542920187895,0,1.3622638029382825,0.0014859701733553935,0,0.0007028102192225987
"Bay Area AQMD",2013,LDT1,Aggregate,Aggregate,Gasoline,242326.59073829552,6978073.825870401,6978073.825870401,0,1072129.790462783,0.4607440657190892,0,0.7708494354941521,0.003879668517362121,0,0.005903660407788074,0.0020000005732018797,0.003223197436226857,0.004199004205159434,0,0.006380805544666982,0.008000002292807519,0.009209135532076737,380.3361654767267,0,112.95734321573315,0.024682022124461137,0,0.2209214768094451,0.026661298623209394,0,0.05466697221211703,0.13957685708511644,0,1.3013994869539964,0.3553079637869852,0.9442958544164267,3.943756297888348,0.18471104669347585,0,1.423911400338832,0.35530796378683915,0.9442958544160375,3.943756297888348,0.038557301107650495,4.354218832821317,0,13.118738588491754,0.0037728654205168824,0,0.0011205162508748435
"Bay Area AQMD",2013,LDT1,Aggregate,Aggregate,Diesel,451.0668979910816,8215.496882414282,8215.496882414282,0,1658.0251811857888,1.531830683898904,0,0,0.1830232013325461,0,0,0.0020000005732018836,0.003586441277976563,0.19129869834337637,0,0,0.008000002292807534,0.010246975079933036,453.1998183008388,0,0,0.01135584101694729,0,0,0.07113906566534754,0,0,0.2444845711961258,0,0,0,0,0,0.2783294298680848,0,0,0,0,0,0.0031000000000000034,1.514367029012838,0,0,0.004278496082904183,0,0
"Bay Area AQMD",2013,LDT1,Aggregate,Aggregate,Electricity,470.8122025944277,13738.505306122146,0,13738.505306122146,2320.4345059161396,0,0,0,0,0,0,0.0020000005732018784,0.001528888584114395,0,0,0,0.008000002292807513,0.0043682530974697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bay Area AQMD",2014,LDA,Aggregate,Aggregate,Gasoline,2393860.332596412,79471545.16791189,79471545.16791189,0,11102580.254859291,0.1785774339788197,0,0.5118685710938674,0.0016300300988810476,0,0.0029733870719768885,0.0020000005732018797,0.0026167358153394303,0.0017699180959009101,0,0.0032212155640983916,0.008000002292807519,0.007476388043826934,319.7655186699814,0,87.74718064370407,0.009594432397140966,0,0.14728009265223443,0.012786710648736623,0,0.04528199966718785,0.04676973703413484,0,0.8056110586969726,0.17310613866685623,0.4205752985808775,2.0463177528331062,0.06557587682874258,0,0.881742335897391,0.173106138666785,0.4205752985807041,2.0463177528331062,0.02919960707597423,1.8980468550424772,0,7.383234031022951,0.0031805668241305764,0,0.0008727825715141982
"Bay Area AQMD",2014,LDA,Aggregate,Aggregate,Diesel,21567.507275215496,746393.3905887839,746393.3905887839,0,99738.91069633697,0.3535430803203585,0,0,0.025672342716214408,0,0,0.002000000573201881,0.002579055711131023,0.026833132134508025,0,0,0.008000002292807524,0.007368730603231489,251.36815768823558,0,0,0.0018808743804634342,0,0,0.03946510531927741,0,0,0.04049411802218045,0,0,0,0,0,0.046099861136362066,0,0,0,0,0,0.003100000000000001,0.37741166740886967,0,0,0.0023735383216057383,0,0
"Bay Area AQMD",2014,LDA,Aggregate,Aggregate,Electricity,17280.201670491748,565043.8326978015,0,565043.8326978015,88580.01441572183,0,0,0,0,0,0,0.002000000573201878,0.001523768876453397,0,0,0,0.008000002292807512,0.004353625361295421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bay Area AQMD",2014,LDA,Aggregate,Aggregate,"Plug-in Hybrid",8977.994040579288,414532.47939415445,224623.39112631677,189909.0882678376,37124.00535909267,0.0035776175526870376,0,0.1164667833379976,0.0005050037538532014,0,0.0014393356193051889,0.002000000573201882,0.0013407907496711276,0.0005492376593001973,0,0.001565408812237031,0.008000002292807527,0.0038308307133460783,149.40476840286854,0,70.31179545171358,0.0004907143648470582,0,0.04358567679144086,0.0006621934055671292,0,0.021544573906036115,0.001535700556848751,0,0.17530594314149228,0.037199047486872215,0.03543404280838247,0.5649509477411521,0.0022408906476239394,0,0.19193794159447872,0.037199047486856915,0.03543404280836788,0.5649509477411521,0.010837432639999998,0.22954374696207303,0,1.3621118534076597,0.0014860634496351199,0,0.000699360471663542
"Bay Area AQMD",2014,LDT1,Aggregate,Aggregate,Gasoline,238855.22278979552,7018180.2837614305,7018180.2837614305,0,1061293.024101355,0.3948122952165947,0,0.7181564414930327,0.0033179187354880524,0,0.0050596442148185365,0.0020000005732018823,0.0032093219684050825,0.003597477229107357,0,0.005480817007360929,0.008000002292807529,0.009169491338300247,373.5783218092964,0,108.74658949939021,0.020071940069386226,0,0.2047421895094205,0.023537350803028306,0,0.05271032034585021,0.10675334021695607,0,1.1868983954198595,0.3094501546372916,0.8649472949219495,3.7471042600539093,0.1456119921623623,0,1.298981834782829,0.30945015463716474,0.8649472949215943,3.7471042600539093,0.0366250161991224,3.6764273106811616,0,11.93445054006379,0.003715819083630819,0,0.0010816544455378684
"Bay Area AQMD",2014,LDT1,Aggregate,Aggregate,Diesel,401.2381436689342,7090.817796696125,7090.817796696125,0,1451.126875083276,1.55656043486665,0,0,0.18349118223595245,0,0,0.00200000057320188,0.003610967785849561,0.19178783926660023,0,0,0.00800000229280752,0.01031705081671303,452.0269453811102,0,0,0.011321540329967926,0,0,0.07096877810888962,0,0,0.24374609760043453,0,0,0,0,0,0.27748872677645087,0,0,0,0,0,0.003099999999999998,1.540721606529248,0,0,0.004268254528050203,0,0
"Bay Area AQMD",2014,LDT1,Aggregate,Aggregate,Electricity,735.5337139674266,23153.14401367635,0,23153.14401367635,3709.011470447288,0,0,0,0,0,0,0.0020000005732018792,0.0015257302091059904,0,0,0,0.008000002292807517,0.0043592291688742575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bay Area AQMD",2015,LDA,Aggregate,Aggregate,Gasoline,2438042.4620771534,83672495.1483065,83672495.1483065,0,11331413.487590143,0.15083862023341438,0,0.46926080673551446,0.0015078212134789486,0,0.002721237256973027,0.0020000005732018823,0.002612158298768293,0.001637838507168464,0,0.0029503887942069974,0.008000002292807529,0.00746330942505226,316.0984178900937,0,85.57161144823459,0.008097705283475044,0,0.13470829625595476,0.011159011203779177,0,0.043359296797513026,0.0386874667492778,0,0.7236501780205086,0.15702963622549182,0.38050590637548676,1.955268664021387,0.054545457490414485,0,0.7920891007175415,0.15702963622542718,0.3805059063753303,1.955268664021387,0.02754518024324834,1.657839762861675,0,6.640297435140787,0.0031280500915251397,0,0.0008468004642644955
"Bay Area AQMD",2015,LDA,Aggregate,Aggregate,Diesel,24543.645788024616,897551.1250996934,897551.1250996934,0,114845.723835324,0.2755794235539946,0,0,0.01966001323284998,0,0,0.0020000005732018805,0.0025785609364601812,0.02054895179122282,0,0,0.008000002292807522,0.007367316961314798,246.06312074669762,0,0,0.0014901920761276966,0,0,0.03867769594731519,0,0,0.03208295802910809,0,0,0,0,0,0.036524314696161304,0,0,0,0,0,0.003099999999999999,0.3226268844810789,0,0,0.002326181389348149,0,0
"Bay Area AQMD",2015,LDA,Aggregate,Aggregate,Electricity,30990.799035322485,1036397.1830930779,0,1036397.1830930779,158658.54306855117,0,0,0,0,0,0,0.0020000005732018784,0.0015240711088908127,0,0,0,0.008000002292807513,0.004354488882545178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bay Area AQMD",2015,LDA,Aggregate,Aggregate,"Plug-in Hybrid",12589.844715072883,582171.823137123,315462.3959077281,266709.4272293949,52059.0078986456,0.0035760649722353477,0,0.1164520378200995,0.0005821605549650045,0,0.0016776781293987035,0.0020000005732018823,0.0013421483631959777,0.0006331527203633988,0,0.0018246280385431153,0.008000002292807529,0.0038347096091313642,150.17366103340618,0,70.28873995214514,0.0004904777619259545,0,0.04358872560448695,0.0006621651898043884,0,0.021550211252132623,0.001534672502077217,0,0.17528291827255565,0.03736148803721473,0.035522184898191554,0.5657146984767428,0.002239390512514591,0,0.19191273226118416,0.03736148803719937,0.03552218489817694,0.5657146984767428,0.010837432639999997,0.22968433974984975,0,1.3618066259114285,0.0014860901148310778,0,0.0006955640616870825
"Bay Area AQMD",2015,LDT1,Aggregate,Aggregate,Gasoline,253320.87373680677,7921667.38737495,7921667.38737495,0,1137381.5961824048,0.32116222738430406,0,0.637102866004541,0.0028854650759602514,0,0.004507029908886289,0.0020000005732018814,0.0031499973414238604,0.0031300574797658923,0,0.004884945273300931,0.008000002292807526,0.008999992404068171,366.06343170841035,0,104.56426623543372,0.01640355502925308,0,0.18252517836510923,0.019610472651427294,0,0.04925855831678828,0.08581251465798491,0,1.0415562100100473,0.2726262549740614,0.7551272240288259,3.4552670834222043,0.11775581533230738,0,1.1399764890877875,0.27262625497394943,0.7551272240285148,3.4552670834222043,0.03341140210952851,3.04713220620654,0,10.411369324174316,0.003622494407604516,0,0.0010347481798587566
